Team,Inters&AFK,Trollpicks,Output
red,1,1,lose
red,0,0,win
red,0,0,win
blue,2,1,win
blue,1,0,win
red,0,0,win
blue,0,0,win
blue,0,0,win
blue,0,0,lose
blue,0,0,win
blue,0,0,win
red,2,0,lose
red,0,2,win
blue,0,3,win
red,0,0,win
red,1,2,win
red,0,0,win
blue,0,3,lose
red,1,2,lose
blue,0,2,lose
blue,0,0,lose
red,3,1,lose
red,0,2,win
red,0,1,lose
blue,1,0,lose
red,4,3,lose
red,1,0,win
blue,0,0,win
red,0,0,win
red,0,2,win
red,0,0,lose
blue,0,2,win
blue,0,2,lose
red,0,0,lose
blue,0,1,win
red,0,0,lose
blue,0,0,lose
red,0,0,win
red,2,0,lose
blue,0,0,lose
blue,0,1,lose
red,0,3,lose
blue,0,1,lose
blue,1,1,win
blue,0,1,win
blue,0,0,lose
blue,3,0,lose
red,0,0,win
red,0,1,win
blue,0,0,win
red,0,0,win
red,0,0,lose
red,0,1,win
blue,0,0,win
red,1,3,lose
blue,1,0,lose
blue,0,0,lose
red,1,3,win
red,0,0,win
red,0,1,win
blue,0,1,win
red,0,0,win
red,2,1,lose
blue,0,1,win
red,0,2,lose
red,0,0,win
red,0,0,win
blue,0,0,win
blue,0,2,lose
red,0,1,win
blue,0,0,win
red,0,0,win
blue,1,1,lose
red,0,1,lose
red,0,0,win
blue,2,1,lose
blue,0,0,win
red,0,0,win
blue,0,0,lose
blue,0,0,lose
blue,0,0,win
blue,0,0,lose
blue,1,2,win
red,1,0,lose
red,1,1,win
blue,0,1,lose
red,2,0,lose
red,0,4,win
red,0,0,lose
blue,0,0,lose
red,1,3,lose
blue,0,1,win
blue,0,0,win
red,1,1,win
red,0,2,win
red,2,0,lose
blue,0,0,lose
red,0,1,win
red,3,2,lose
blue,0,1,lose
